Unnamed: 0,BREED,GENDER_01,AGEATSURGERYmo,BODYWEIGHTKG,Taglia,BCS,YEAR,GENERATION,STEMSIZE,CUPSIZE,NECKSIZE,HEADSIZE,ALO,CUPRETROVERSION,STEMANTEVERSIONREAL,RECTUSFEMORISM.RELEASE,LUX_01,LUX_CR,mse
3833,5.04286146280358,0.008572292560716,8.20685783404857,25.933993347282485,0.991427707439284,4.0,2018.0,6.0,0.0257168776821481,2.991427707439284,5.974283122317852,0.0,40.04286146280358,15.077150633046443,17.816583178825738,1.982855414878568,1,1.0,1.998849722898007
3834,2.999943258598352,2.837070082428728e-05,85.47046244242344,43.89940705235277,1.0,5.0,2005.000141853504,3.0000283707008246,8.51121024727508e-05,2.999971629299176,4.0,0.0,45.99982977579506,23.000113482803297,27.700215617326265,0.0,1,0.0,1.998849722898007
3835,5.000570472554385,0.0001901575181283,11.366337060301944,33.99961968496374,1.0,4.999809842481872,2008.001711417663,3.0003803150362565,0.0,3.000190157518128,3.000190157518128,0.0001901575181283,41.99961968496374,14.003042520290052,17.702586142246545,0.0,1,0.0001901575181283,1.998849722898007
3836,4.33960474405285,0.0,8.406227667916305,35.643950988753296,1.0,5.0,2016.8660395255947,5.0,1.0,6.0,5.0,1.0,44.73207905118943,18.937723320836994,22.20658498125549,0.2679209488105701,1,1.0,1.998849722898007
3837,9.019787929457475,0.980212070542524,8.159363788372428,32.95250896930206,1.0,5.019787929457476,2020.8614844937977,5.960424141085047,0.0,3.980212070542524,4.0,0.980212070542524,40.09893964728738,29.74275691705281,17.794982061395885,0.0395758589149521,1,1.0,1.998849722898007
3838,3.001567076233372,1.0,7.775066133594457,25.500492509673347,1.0,4.000223868033339,2017.9995522639333,5.999776131966661,0.0006716041000165,2.9997761319666614,4.0,0.9997761319666612,44.9988806598333,8.001567076233371,20.802350614350058,0.0004477360666776,1,5.551115123125783e-17,1.998849722898007
3839,3.0018605013176414,0.0009302506588203,35.30353624971894,43.98883699209416,1.0,5.0,2020.994418496047,5.99906974934118,1.0,6.996278997364719,4.00093025065882,1.9981394986823595,41.00186050131765,24.00093025065882,20.809767631917616,0.0018605013176407,1,0.0,1.998849722898007
3840,4.54497873414382,0.8068776582320225,10.369050537955896,35.28940955701629,1.0,4.806877658232023,2019.386244683536,6.0,0.5793670253039325,3.613755316464045,4.0,0.8068776582320225,42.84126594939214,10.317468101215727,21.128307981005563,0.0,1,0.8068776582320224,1.998849722898007
3841,2.9999659711940785,3.402880592207058e-05,8.533460487638123,28.09993194238816,1.0,4.000034028805922,2015.0,5.0,0.0,3.0,4.0,0.0,41.99986388477631,10.00017014402961,27.7,1.999931942388156,1,0.9999659711940778,1.998849722898007
3842,1.002512941120151,0.9997207843199832,101.74390171038884,23.000949333312057,1.0,5.0,2010.0013960784,4.000279215680017,2.9991623529599494,2.000279215680017,4.0,0.0002792156800167,39.999441568639966,26.9966494118398,35.29642603929578,0.0,1,0.0,1.998849722898007
3843,5.451768280825279,0.0,9.347865239963063,20.908146376245845,0.1827439063915736,5.634512187216853,2015.8172560936084,5.0,1.6345121872168529,2.1827439063915737,4.0,0.0,42.0,17.35530484247584,30.642121936990332,0.3654878127831471,1,0.1827439063915735,1.998849722898007
3844,2.9999913503559776,0.9999956751779884,5.570038908982031,18.400011244537232,4.324822011625429e-06,5.0,2016.0,5.0,3.0,2.0,4.0,0.0,40.000021624110055,14.999995675177988,22.500038058433702,0.0,1,4.324822011514407e-06,1.998849722898007
3845,7.147334830503094,0.9263325847484531,6.538969901263556,32.22100224575464,1.0,4.926332584748453,2005.0313438135215,3.221002245754641,0.0736674152515468,3.221002245754641,5.0,0.0736674152515469,49.63166292374227,10.368337076257736,34.00345349157277,-5.551115123125783e-17,1,0.0736674152515468,1.998849722898007
3846,12.983421540399194,0.0020723074501007,38.07132563658515,42.95026462119758,0.9979276925498992,4.997927692549899,2008.0041446149005,3.002072307450101,1.0041446149002016,2.997927692549899,3.997927692549899,0.0,47.9896384627495,4.033156919201611,11.562583684993044,0.0020723074501007,1,0.9979276925498992,1.998849722898007
3847,6.22782407968177,0.7544351840636461,45.11079405353068,22.683472239045308,0.245564815936354,4.245564815936354,2008.7721759203184,3.754435184063646,2.263305552190938,2.0,3.245564815936354,0.0,43.98225926374541,18.281046288445523,40.619514809880044,0.7544351840636461,1,0.0,1.998849722898007
3848,11.995449699205391,1.0,79.6398450234953,29.01565303473345,1.0,5.000910060158922,2006.009100601589,3.001820120317843,1.0,2.003640240635686,4.000910060158922,0.0009100601589214,45.99908993984108,12.00182012031784,31.3,-5.551115123125783e-17,1,0.0009100601589215,1.998849722898007
3849,2.9305396695168104,0.0,25.584461541485958,45.85258396810508,1.0,5.9305396695168096,2012.347301652416,4.0694603304831904,0.9305396695168096,5.861079339033619,4.0,1.0,44.51377768661767,18.13892066096638,20.8,0.0,1,5.551115123125783e-17,1.998849722898007
