CASE_ID;BREED;GENDER_01;AGEATSURGERYmo;BODYWEIGHTKG;Taglia;BCS;INDICATIONFORTHR;HIPRL;YEAR;n_luxation;GENERATION;STEMSIZE;CUPSIZE;NECKSIZE;HEADSIZE;ALO;CUPRETROVERSION;STEMANTEVERSIONREAL;RECTUSFEMORISM.RELEASE;first_lux_days_after_thr;DIRECTION;LUX_01;LUX_CR
2746;3;0;30,2666666666667;77;1;6;2;L;2021;;6;TIGER;10;10;4;44;18;14,6;NO;;;0;1
2747;3;0;10,2;32,9;1;5;2;R;2021;;6;LARGE;4;4;1;45;20;24,2;NO;;;0;1
2748;3;0;8,83333333333333;29,5;1;5;2;L;2021;;6;LARGE;4;4;1;48;30;27,7;NO;;;0;1
2749;11;0;17,1666666666667;18;0;5;2;R;2021;;6;SMALL;1;4;0;40;25;20,8;NO;;;0;1
2750;1;0;11,3333333333333;30;1;5;2;L;2021;;6;MEDIUM;4;4;1;42;20;24,2;NO;;;0;1
2751;5;0;12,9333333333333;31,1;1;4;2;L;2021;;6;MEDIUM;4;5;1;40;20;20,8;NO;;;0;1
2752;11;0;14,8333333333333;15,8;0;4;2;L;2021;;6;SMALL;1;4;0;42;20;25,9;NO;;;0;1
2753;10;1;10,8666666666667;25,6;1;5;2;R;2021;;6;MEDIUM;4;4;1;40;22;20,8;NO;;;0;1
2754;10;1;9,7;23,8;1;6;2;L;2021;;6;X-SMALL;1;4;0;42;30;17,7;NO;;;0;1
2755;10;0;7,1;33;1;6;2;L;2021;;6;MEDIUM;4;4;1;40;24;24,2;NO;;;0;1
2756;11;1;9,7;22;1;5;2;R;2021;;6;SMALL;2;4;0;40;14;20,8;NO;;;0;1
2757;3;1;6,5;43;1;5;2;L;2016;;5;X-LARGE;8;5;1;40;20;22,5;PARTIAL;;;0;1
2758;1;0;94,9;26,9;1;5;2;L;2016;;5;MEDIUM;3;4;0;41;22;35,3;NO;;;0;1
2759;2;1;11,6666666666667;35,6;1;5;2;R;2016;;5;MEDIUM;3;4;0;41;10;31,3;PARTIAL;;;0;1
2760;3;0;9,03333333333333;26,6;1;5;2;L;2017;;5;MEDIUM;2;4;0;40;15;24,2;NO;;;0;1
2761;3;0;11,9333333333333;46;1;5;2;L;2020;;6;X-LARGE GIANT;7;5;2;46;13;27,7;NO;;;0;1
2762;7;1;56,6333333333333;80,7;1;8;2;R;2020;;6;TIGER;10;8;4;48;15;24,2;NO;;;0;1
2763;3;0;8,73333333333333;41,6;1;5;2;R;2020;;6;X-LARGE GIANT;7;5;2;47;15;14,6;NO;;;0;1
2764;3;1;61,4666666666667;63;1;5;2;L;2020;;6;TIGER;11;10;4;46;24;31,3;NO;;;0;1
2765;3;0;16,9666666666667;77;1;6;2;L;2020;;6;TIGER;10;10;4;44;15;29,5;NO;;;0;1
2766;12;0;10,3;37,8;1;6;2;L;2020;;6;LARGE;4;5;1;40;20;25,9;NO;;;0;1
2767;10;0;8,6;38,6;1;5;2;L;2020;;6;LARGE;4;4;1;46;22;19,2;NO;;;0;1
2768;10;1;9,93333333333333;32;1;5;2;R;2020;;6;MEDIUM;4;4;0;44;17;17,7;NO;;;0;1
2769;11;1;8,13333333333333;19,7;0;5;2;L;2020;;6;SMALL;2;4;0;40;15;20,8;NO;;;0;1
2770;5;0;9,2;27,7;1;4;2;R;2020;;6;MEDIUM;4;5;1;40;20;22,5;NO;;;0;1
2771;10;0;8,4;27,3;1;5;2;L;2020;;6;MEDIUM;4;4;1;40;13;17,7;NO;;;0;1
2772;11;1;8,53333333333333;17,9;0;5;2;R;2020;;6;X-SMALL;1;4;0;42;14;22,5;NO;;;0;1
2773;11;1;8,13333333333333;17,9;0;5;2;R;2020;;6;X-SMALL;1;4;0;42;14;22,5;NO;;;0;1
2774;10;0;10,5333333333333;31;1;5;2;R;2020;;6;MEDIUM;4;4;1;42;22;24,2;NO;;;0;1
2775;10;0;10,5;27,2;1;6;2;R;2020;;6;SMALL;2;4;0;40;16;20,8;NO;;;0;1
2776;9;0;10,0333333333333;44,05;1;5;2;R;2020;;6;LARGE;7;5;2;47;15;20,8;NO;;;0;1
2777;10;1;8,53333333333333;29,6;1;5;2;L;2020;;6;MEDIUM;4;4;0;45;15;24,2;NO;;;0;1
2778;5;0;8,56666666666667;37;1;5;2;R;2020;;6;MEDIUM;7;4;2;46;12;19,2;NO;;;0;1
2779;13;1;10,0666666666667;43;1;6;2;R;2020;;6;LARGE;7;4;2;42;25;14,6;NO;;;0;1
2780;12;1;12,8333333333333;30,5;1;5;2;R;2020;;6;MEDIUM;4;4;1;44;18;27,7;NO;;;0;1
2781;3;1;8,7;37;1;5;2;L;2020;;6;LARGE;7;5;2;40;18;22,5;NO;;;0;1
2782;11;0;9,23333333333333;24,1;1;4;2;L;2020;;6;SMALL;4;4;1;47;17;27,7;NO;;;0;1
2783;12;1;18,3666666666667;39,9;1;5;2;R;2020;;6;LARGE;7;5;2;46;20;20,8;NO;;;0;1
2784;5;0;6,96666666666667;33;1;5;2;L;2020;;6;MEDIUM;7;4;2;45;24;19,2;NO;;;0;1
2785;10;0;8,46666666666667;27,5;1;5;2;L;2020;;6;MEDIUM;4;4;1;45;22;24,2;NO;;;0;1
2786;6;0;94,1;21,6;1;5;2;R;2020;;6;SMALL;2;4;0;40;26;20,8;NO;;;0;1
2787;2;0;5,96666666666667;17,8;0;5;2;R;2020;;6;X-SMALL;1;3;0;40;10;22,5;NO;;;0;1
2788;12;1;8;38,6;1;5;2;L;2020;;6;LARGE;7;4;2;46;22;22,5;NO;;;0;1
2789;10;1;8,3;25;1;5;2;R;2020;;6;SMALL;2;4;0;43;20;20,8;NO;;;0;1
2790;5;1;7,33333333333333;21,6;1;4;2;R;2020;;6;MEDIUM;4;4;1;43;24;27,7;NO;;;0;1
2791;12;1;13,9666666666667;30;1;5;2;R;2020;;6;MEDIUM;4;4;1;46;14;14,6;NO;;;0;1
2792;10;0;20,4666666666667;38;1;6;2;R;2020;;6;MEDIUM;7;4;2;46;18;20,8;NO;;;0;1
2793;12;1;14,3666666666667;27;1;6;2;L;2020;;6;SMALL;2;4;0;45;16;24,2;NO;;;0;1
2794;5;1;6,03333333333333;19,6;0;4;2;L;2020;;6;MEDIUM;4;4;1;40;18;24,2;NO;;;0;1
2795;3;0;88,8666666666667;37,5;1;5;2;R;2020;;6;MEDIUM;7;4;2;46;24;24,2;NO;;;0;1
2796;12;1;26,1666666666667;38,7;1;5;2;L;2020;;6;LARGE;4;4;1;45;20;17,7;NO;;;0;1
2797;12;1;11,8333333333333;30,5;1;5;2;L;2020;;6;MEDIUM;4;4;1;40;22;20,8;NO;;;0;1
2798;6;0;33,4666666666667;24;1;4;2;L;2020;;6;MEDIUM;4;4;1;45;18;17,7;NO;;;0;1
2799;10;0;8,7;28,2;1;5;2;L;2020;;6;SMALL;4;4;1;40;15;25,9;NO;;;0;1
2800;9;1;11,8666666666667;33,8;1;6;2;L;2020;;6;LARGE;7;4;2;46;18;25,9;NO;;;0;1
2801;12;1;12,2666666666667;27,5;1;6;2;R;2020;;6;SMALL;2;4;0;45;11;20,8;NO;;;0;1
2802;5;1;13,0333333333333;29,2;1;4;2;R;2020;;6;MEDIUM;4;4;1;45;20;20,8;NO;;;0;1
2803;10;0;13,8666666666667;31;1;4;2;R;2020;;6;MEDIUM;4;4;1;40;20;22,5;NO;;;0;1
2804;8;0;10,9666666666667;49,8;1;6;2;L;2020;;6;LARGE;7;4;3;45;22;17,7;NO;;;0;1
2805;8;0;10;59,4;1;6;2;R;2020;;6;X-LARGE;7;5;3;47;18;22,5;NO;;;0;1
2806;9;1;20,8666666666667;46,5;1;7;2;L;2020;;6;LARGE;7;5;3;45;18;22,5;NO;;;0;1
2807;6;0;85,8333333333333;19,6;0;4;2;R;2020;;6;X-SMALL;4;4;1;45;20;19,2;NO;;;0;1
2808;6;1;19,0666666666667;18,1;0;4;2;R;2020;;6;X-SMALL;1;4;0;40;10;19,2;NO;;;0;1
2809;9;1;9,6;30,4;1;6;2;R;2020;;6;LARGE;7;4;3;46;18;25,9;NO;;;0;1
